# START,0,0,0,0,0,0
# TARGET,1.5708,0,0,0,0,0
# OBS,-0.6,-0.4,-0.6,-0.4,-1,0.5
Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
73,0.402687,-0.00335299,0.0102644,-0.30145,0.437806,-0.262706,1.31002
74,0.297327,-0.0589384,0.160264,-0.157701,0.485371,-0.201405,1.3971
75,0.221422,0.0556389,0.157054,-0.055652,0.388704,-0.119836,1.42025
76,0.345255,-0.0482619,0.209246,-0.0857299,0.347004,-0.195232,1.30918
77,0.403561,-0.151901,0.148778,-0.0946425,0.312434,-0.128487,1.23723
78,0.407818,-0.00190137,0.0495024,0.0518711,0.198458,0.0242865,1.18222
79,0.37208,0.077709,0.0712089,-0.109076,0.268895,-0.0543272,1.23902
80,0.272373,0.0175834,-0.0470948,-0.224771,0.133473,0.0971646,1.32899
81,0.179208,-0.0536874,-0.1797,-0.242493,0.100722,0.0249417,1.42873
82,0.21085,0.0768478,-0.263872,-0.442486,0.209507,0.0135718,1.47135
83,0.21913,0.121266,-0.300196,-0.450221,0.188151,0.0698738,1.47472
84,0.261706,0.257232,-0.357806,-0.250221,0.0158738,0.25123,1.42615
85,0.202301,0.291372,-0.283817,-0.090065,0.0479744,0.134784,1.43764
86,0.261213,0.400633,-0.226604,-0.278425,0.0229149,0.0723356,1.41779
87,0.21606,0.250633,-0.0861477,-0.413815,0.0927011,0.0936024,1.44712
88,0.186817,0.225964,-0.0653423,-0.301564,-0.00573203,0.0440678,1.43654
89,0.15406,0.121361,-0.175326,-0.21109,0.00881975,0.19194,1.46085
90,0.30406,0.271361,-0.025326,-0.01109,-0.104188,0.0507069,1.30094
91,0.272971,0.311156,-0.100216,-0.18094,-0.0869542,0.15722,1.36244
92,0.329858,0.207411,-0.173284,-0.153457,-0.0492017,-0.0348257,1.28069
93,0.384219,0.216111,-0.183903,-0.100373,0.150798,-0.148923,1.24237
94,0.384926,0.0792493,-0.048754,0.0673351,0.21517,-0.0595504,1.21216
95,0.264621,0.0341412,-0.0995305,0.113517,0.37419,-0.0343349,1.36794
96,0.403888,0.0523537,-0.0121914,0.114411,0.284693,-0.0203182,1.20794
97,0.442465,-0.0626088,-0.113252,0.0179863,0.448828,-0.120481,1.22726
98,0.402501,0.00587781,0.027517,0.105974,0.336935,-0.12774,1.22751
99,0.358528,0.048303,-0.0954869,0.020804,0.480421,-0.0156462,1.30864
100,0.366808,0.164923,-0.240824,0.173735,0.539963,-0.043527,1.36324
101,0.381005,0.0509957,-0.108913,0.0954849,0.431689,-0.131564,1.28174
102,0.283687,-0.0564931,-0.0476643,0.039029,0.307233,0.0316083,1.32628
103,0.304914,-0.0253844,-0.071353,-0.119987,0.311686,-0.136011,1.31842
104,0.367144,-0.175384,0.0578084,0.0318075,0.157012,-0.28716,1.26135
105,0.453066,-0.192028,0.076385,-0.023138,0.319498,-0.220294,1.20132
106,0.365875,-0.0420285,-0.0214587,-0.0116599,0.153625,-0.153524,1.2253
107,0.307302,-0.00271707,0.0572587,-0.14418,0.18933,-0.138186,1.29438
108,0.315641,-0.152717,0.133095,-0.144999,0.159193,-0.319137,1.32841
109,0.380645,-0.133948,0.0276844,-0.107892,0.215946,-0.231053,1.24372
110,0.438336,-0.101897,-0.122316,0.08157,0.236268,-0.0483362,1.17159
111,0.320002,-0.224704,-0.163729,0.0652012,0.090592,0.102406,1.29024
112,0.332285,-0.125092,-0.121495,-0.124044,0.0477899,0.217652,1.27646
113,0.353349,-0.199779,-0.237265,-0.0366414,0.117746,0.379595,1.31821
114,0.290262,-0.141035,-0.137816,-0.165686,0.290153,0.251521,1.36145
115,0.228296,-0.153779,-0.256898,-0.168623,0.312187,0.0704602,1.42226
116,0.151348,-0.0658229,-0.252764,-0.121569,0.112187,0.0961696,1.45591
117,0.236005,0.074401,-0.220713,-0.255786,0.150881,0.136046,1.39378
118,0.344858,-0.075599,-0.13919,-0.0838381,0.300112,0.0674096,1.27658
119,0.352075,-0.0781954,-0.0314729,0.0571381,0.359134,-0.0483232,1.27553
120,0.340252,0.0151131,-0.0105061,0.032278,0.342832,0.0671216,1.27971
121,0.415677,-0.0895041,7.62972e-05,0.152596,0.447062,-0.100742,1.25523
122,0.387835,-0.207953,0.150076,-0.0474043,0.558384,-0.258323,1.35865
123,0.408603,-0.119818,0.202452,-0.0139475,0.402113,-0.0638746,1.2538
124,0.488953,-0.078235,0.119185,-0.106428,0.486962,-0.152543,1.20931
125,0.452182,-0.0316438,-0.0308146,-0.0741745,0.327596,-0.0356206,1.16933
126,0.322312,-0.0475932,-0.0167881,-0.0796863,0.141127,-0.0071066,1.25999
127,0.263269,-0.122238,-0.113606,-0.24824,0.0485759,0.113219,1.34695
128,0.313317,-0.0545235,-0.0551771,-0.108678,-0.056815,0.259592,1.29217
129,0.363658,-0.0563886,-0.102321,-0.199776,0.122904,0.182078,1.2486
130,0.233432,-0.0153095,-0.0236,-0.0239602,-0.0262595,0.0572116,1.33935
131,0.369872,-0.0993245,0.00784329,-0.109555,-0.174855,0.252581,1.24841
132,0.330631,-0.0585621,0.0952677,-0.280848,-0.290542,0.248253,1.33245
133,0.207839,-0.00704254,0.0658911,-0.152667,-0.105081,0.382108,1.42913
134,0.251427,-0.131921,0.171059,-0.0769395,-0.140768,0.310124,1.38178
135,0.174308,-0.275172,0.106895,-0.170805,-0.168207,0.269957,1.4723
136,0.173002,-0.194146,-0.0225554,-0.0034291,-0.269821,0.173016,1.44734
137,0.23866,-0.0605861,-0.0721308,0.0961222,-0.0704371,0.0552697,1.34191
138,0.203848,-0.210586,0.0255322,-0.0308547,-0.0541763,0.25527,1.40805
139,0.2303,-0.0875525,0.132457,0.0219409,-0.232854,0.283598,1.39902
140,0.249061,-0.11969,0.14199,0.0247671,-0.0560233,0.110663,1.3407
141,0.249428,-0.242702,0.158772,-0.0359544,0.0876096,0.223335,1.3744
142,0.210289,-0.095372,0.188454,-0.196,0.0248562,0.311029,1.42526
143,0.339929,-0.0436027,0.038454,-0.304225,-0.0120336,0.511029,1.36831
144,0.425004,-0.0977865,-0.099197,-0.347054,-0.0145729,0.317059,1.24637
145,0.323869,-0.165679,-0.119693,-0.26518,0.0267591,0.321268,1.33073
146,0.247009,-0.0156787,-0.17602,-0.323025,-0.118544,0.302023,1.41183
147,0.249699,0.104702,-0.057934,-0.275211,-0.288537,0.160305,1.39438
148,0.301476,0.044263,-0.0091608,-0.450834,-0.202859,0.148752,1.37104
149,0.411542,0.133147,-0.0478223,-0.380812,-0.280713,0.228916,1.28067
150,0.293392,0.222261,-0.0234119,-0.421661,-0.331243,0.0289157,1.40359
151,0.363252,0.185003,0.0916652,-0.298402,-0.1655,-0.0353276,1.27219
152,0.390735,0.0758587,0.0727537,-0.235849,-0.212922,-0.114689,1.23195
153,0.364544,0.105766,-0.0267836,-0.200037,-0.0989776,-0.301777,1.268
154,0.31362,-0.0143252,-0.162221,-0.32855,-0.135797,-0.243298,1.33888
155,0.249433,-0.0958876,-0.266967,-0.23656,-0.024257,-0.277483,1.4
156,0.35557,-0.11668,-0.171109,-0.354459,-0.14012,-0.418176,1.3564
157,0.386379,-0.108385,-0.0211088,-0.198357,-0.108457,-0.236189,1.23367
158,0.367124,-0.0740516,0.0473437,-0.250809,-0.0193639,-0.0948315,1.23646
159,0.336444,-0.026285,0.170965,-0.103959,-0.0484502,-0.294831,1.28593
160,0.22371,-0.106128,0.224565,-0.102347,0.0385178,-0.172942,1.38499
161,0.0796694,-0.134496,0.136134,-0.00188937,0.125738,-0.222314,1.5249
162,0.202866,-0.0336091,0.0662689,-0.13781,0.06047,-0.113404,1.38285
163,0.246419,0.00865591,0.139751,0.0219869,0.141717,-0.100442,1.34322
164,0.155106,-0.0288282,0.161887,0.000887866,0.144271,0.0995557,1.43595
165,0.287384,-0.101138,0.0327716,-0.124574,0.0874081,-0.0280519,1.29707
