# START,0,0,0,0,0,0
# TARGET,1.5708,0,0,0,0,0
# OBS,-0.6,-0.4,-0.6,-0.4,-1,0.5
Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
74,0.362777,0.0306276,-0.213508,-0.194604,0.472193,0.258406,1.35405
75,0.245488,0.180628,-0.0883347,-0.305832,0.329657,0.106262,1.41788
76,0.339528,0.239695,-0.166508,-0.393952,0.222682,0.112617,1.34858
77,0.249047,0.174318,-0.218354,-0.41544,0.17684,0.279162,1.45151
78,0.284503,0.148031,-0.323923,-0.55865,-0.0208979,0.218135,1.46339
79,0.134503,0.194891,-0.431281,-0.370662,-0.0762288,0.0551162,1.55986
80,0.20722,0.205688,-0.402737,-0.321929,0.123771,-0.0378609,1.47792
81,0.271952,0.0556884,-0.252737,-0.172461,0.0701793,0.0686897,1.33916
82,0.342838,-0.0277836,-0.348073,-0.372461,0.267977,0.10769,1.36086
83,0.376682,-0.0154247,-0.279241,-0.172461,0.439334,0.0789338,1.31648
84,0.271162,-0.019011,-0.34695,-0.121231,0.446873,0.21992,1.43963
85,0.363376,-0.156224,-0.202805,-0.162618,0.313242,0.253871,1.30859
86,0.395414,-0.0798781,-0.078682,-0.194325,0.247061,0.315094,1.26182
87,0.329895,-0.220337,-0.0629856,-0.247724,0.35977,0.218778,1.35315
88,0.29345,-0.158227,-0.002776,-0.315996,0.15977,0.0859004,1.33769
89,0.421743,-0.162172,0.0911793,-0.258518,0.291652,0.175679,1.24004
90,0.321684,-0.0637294,-0.0356466,-0.140343,0.0916518,-0.0243212,1.26266
91,0.466308,0.0569907,-0.185647,-0.267112,0.0555648,0.151396,1.16403
92,0.358972,-0.0701021,-0.13302,-0.115475,0.18969,0.0119545,1.2412
93,0.367845,-0.107346,-0.159979,-0.164603,0.339254,-0.0784189,1.27771
94,0.363462,0.0426544,-0.026569,-0.0246328,0.263687,-0.181875,1.25036
95,0.455896,-0.0789082,-0.0659622,-0.105809,0.220911,0.0181248,1.14626
96,0.341012,-0.156721,-0.183774,-0.00125214,0.0410505,0.0337927,1.25441
97,0.394396,-0.168637,-0.198332,-0.12157,0.0420171,-0.161762,1.22246
98,0.2967,-0.189372,-0.134514,-0.0171574,-0.0442699,0.0279979,1.29627
99,0.38804,-0.194937,-0.177331,0.00449082,0.0409461,0.201164,1.22903
100,0.250157,-0.20859,-0.211319,-0.0885095,0.0205168,0.27542,1.38433
101,0.297756,-0.0961244,-0.275594,0.0559949,0.171601,0.220064,1.33673
102,0.229447,-0.246124,-0.151778,0.116913,0.371601,0.205374,1.4411
103,0.161663,-0.207252,-0.294412,0.172355,0.404386,0.177701,1.52974
104,0.241764,-0.339332,-0.224163,0.170608,0.411989,0.183303,1.47111
105,0.349103,-0.239697,-0.172738,0.26907,0.485437,0.383303,1.42646
106,0.206226,-0.306318,-0.322738,0.358231,0.433738,0.418978,1.59751
107,0.15266,-0.249744,-0.29012,0.189803,0.255259,0.246906,1.52309
108,0.254184,-0.286206,-0.281314,0.226358,0.455259,0.173529,1.47754
109,0.333567,-0.279438,-0.191884,0.0722857,0.353666,0.0440523,1.33337
110,0.259894,-0.35641,-0.322818,0.0986621,0.169495,0.0120338,1.41008
111,0.130219,-0.312017,-0.28305,0.228853,-0.0305053,-0.0824427,1.5208
112,0.163647,-0.209596,-0.228387,0.234707,-0.168141,-0.167456,1.47904
113,0.300103,-0.110667,-0.116323,0.277737,-0.142279,-0.0613068,1.31969
114,0.150103,0.0343675,-0.158998,0.395758,-0.230122,0.0637604,1.50282
115,0.293484,-0.0353825,-0.224777,0.322502,-0.360656,0.0913035,1.3877
116,0.306252,-0.165133,-0.198274,0.218643,-0.387486,-0.011189,1.36518
117,0.156252,-0.0151328,-0.248125,0.0186434,-0.424095,0.18346,1.50884
118,0.149504,-0.114332,-0.179161,-0.161253,-0.32116,0.134595,1.48745
119,0.229069,-0.0635252,-0.267952,-0.030705,-0.304342,0.0618175,1.4048
120,0.312562,-0.119344,-0.277078,0.140212,-0.146825,0.171446,1.3209
121,0.346862,-0.0686353,-0.216037,0.0152036,-0.0339138,0.33164,1.28871
122,0.395084,-0.218635,-0.161763,0.029018,0.0889614,0.360858,1.26303
