s,map,is_failed,is_success,iter,elapsed,f_err
0,164,0,0,200,2.61136,1.04453
0,163,0,1,177,2.34914,0.0477458
0,162,0,0,200,2.57862,1.67134
0,161,0,1,55,0.733963,0.074845
0,160,0,0,200,2.58981,0.509787
0,159,0,0,200,2.59986,0.49527
0,158,0,0,200,2.60324,4.88013
0,157,0,0,200,2.623,0.523029
0,156,0,1,74,0.980862,0.0950649
0,155,0,0,200,2.59186,1.04554
0,154,0,1,84,1.1481,0.0641967
0,153,0,1,82,1.06027,0.076136
0,152,0,0,200,2.56806,1.98913
0,151,0,0,200,2.67924,1.53074
0,150,0,1,96,1.27275,0.0449111
0,149,0,1,73,0.960803,0.0631824
0,148,0,1,65,0.844153,0.0750962
0,147,0,0,200,2.59777,5.51688
0,146,0,1,71,0.948206,0.0853377
0,145,0,0,200,2.6362,0.693197
0,144,0,1,153,2.01748,0.0578091
0,143,0,1,81,1.06473,0.0623801
0,142,0,1,56,0.74444,0.0286128
0,141,0,0,200,2.59961,1.28933
0,140,0,1,63,0.834225,0.0570276
0,139,0,1,65,0.833368,0.0937127
0,138,0,0,200,2.56841,1.01554
0,137,0,0,200,2.58241,0.808315
0,136,0,0,200,2.57116,1.55865
0,135,0,1,72,0.961351,0.0722932
0,134,0,0,200,2.61481,1.91215
0,133,0,0,200,2.63326,0.602305
0,132,0,0,200,2.61883,1.88302
0,131,0,0,200,2.65541,1.46692
0,130,0,0,200,2.64345,2.60684
0,129,0,1,154,1.99723,0.08797
0,128,0,0,200,2.59077,8.72733
0,127,0,1,73,0.951915,0.0793452
0,126,0,0,200,2.56535,2.62243
0,125,0,1,92,1.1861,0.0807262
0,124,0,1,75,0.977445,0.0488862
0,123,0,0,200,2.5865,4.92334
0,122,0,0,200,2.59332,3.002
0,121,0,0,200,2.65531,0.917052
0,120,0,0,200,2.64526,0.208517
0,119,0,0,200,2.65117,0.656748
0,118,0,0,200,2.64693,1.80779
0,117,0,0,200,2.62681,2.95813
0,116,0,1,67,0.870531,0.0901106
0,115,0,1,65,0.833426,0.0940034
0,114,0,1,114,1.47887,0.0997807
0,113,0,0,200,2.5898,0.641861
0,112,0,0,200,2.64007,4.23358
0,111,0,0,200,2.60241,0.71857
0,110,0,0,200,2.59379,0.643888
0,109,0,0,200,2.57463,2.3023
0,108,0,1,61,0.8025,0.0684363
0,107,0,1,86,1.11513,0.0894695
0,106,0,0,200,2.58206,1.8025
0,105,0,0,200,2.58295,0.576705
0,104,0,1,91,1.18139,0.0337662
0,103,0,1,185,2.39696,0.0950068
0,102,0,0,200,2.5957,1.80679
0,101,0,1,141,1.85331,0.0911391
0,100,0,0,200,2.58103,0.267991
0,99,0,1,132,1.72313,0.0730111
0,98,0,1,130,1.68749,0.0736083
0,97,0,0,200,2.60003,0.927868
0,96,0,1,87,1.14719,0.0826076
0,95,0,1,110,1.41927,0.0938993
0,94,0,0,200,2.5803,1.26166
0,93,0,1,159,2.05857,0.0995109
0,92,0,0,200,2.58191,5.26183
0,91,0,0,200,2.58415,0.455448
0,90,0,0,200,2.59731,4.2313
0,89,0,0,200,2.58114,0.683662
0,88,0,0,200,2.5776,1.86175
0,87,0,1,90,1.18384,0.0893792
0,86,0,0,200,2.57487,1.24964
0,85,0,1,76,0.978032,0.0795417
0,84,0,0,200,2.57059,1.49291
0,83,0,0,200,2.59122,0.754043
0,82,0,1,75,0.984077,0.0168399
0,81,0,0,200,2.56677,1.12056
0,80,0,1,107,1.389,0.0745803
0,79,0,1,134,1.73914,0.0821393
0,78,0,0,200,2.58541,1.04857
0,77,0,0,200,2.58508,1.16362
0,76,0,1,48,0.62457,0.0874143
0,75,0,1,148,1.9312,0.085139
0,74,0,1,70,0.911849,0.0857727
0,73,0,0,200,2.5662,1.3384
0,72,0,0,200,2.60679,1.07664
0,71,0,1,163,2.12397,0.0711689
0,70,0,1,46,0.59778,0.0898305
0,69,0,1,118,1.55575,0.0919547
0,68,0,1,67,1.01655,0.0874371
0,67,0,1,52,0.690863,0.0844739
0,66,0,0,200,2.636,0.62601
0,65,0,0,200,2.65288,0.699528
0,64,0,0,200,2.64046,2.11542
0,63,0,0,200,2.5872,0.715634
0,62,0,1,142,1.83113,0.0766815
0,61,0,0,200,2.61477,7.52226
0,60,0,1,143,1.86518,0.0539184
0,59,0,1,66,0.853465,0.0934128
0,58,0,0,200,2.57492,0.306544
0,57,0,1,47,0.612299,0.0894583
0,56,0,0,200,2.60084,0.728552
0,55,0,1,53,0.698346,0.0792109
0,54,0,0,200,2.58739,1.31733
0,53,0,0,200,2.59889,2.88128
0,52,0,1,121,1.5753,0.0751949
0,51,0,1,57,0.738394,0.0537343
0,50,0,0,200,2.63187,0.583317
0,49,0,0,200,2.60742,1.0631
0,48,0,0,200,2.58023,0.320898
0,47,0,1,92,1.22143,0.0866639
0,46,0,1,117,1.55152,0.0896394
0,45,0,1,148,1.95462,0.0473714
0,44,0,1,167,2.4486,0.0934575
0,43,0,0,200,2.60759,1.95647
0,42,0,0,200,2.6241,1.05952
0,41,0,0,200,2.97572,0.981787
0,40,0,1,62,0.825093,0.0368734
0,39,0,1,79,1.03844,0.0962375
0,38,0,0,200,2.96801,5.50891
0,37,0,0,200,2.63592,0.192453
0,36,0,0,200,2.64881,0.768719
0,35,0,1,173,2.57227,0.0966886
0,34,0,1,56,0.753925,0.0941411
0,33,0,0,200,2.63561,1.74059
0,32,0,1,106,1.40902,0.0915305
0,31,0,0,200,2.62125,1.43248
0,30,0,1,84,1.11153,0.0929823
0,29,0,0,200,2.62123,0.780732
0,28,0,1,65,0.859454,0.0799258
0,27,0,1,91,1.20656,0.099685
0,26,0,0,200,2.64212,1.6814
0,25,0,0,200,2.64657,4.77424
0,24,0,0,200,2.56003,0.405488
0,23,0,0,200,2.609,1.1317
0,22,0,0,200,2.59141,2.22511
0,21,0,1,192,2.48343,0.0956823
0,20,0,0,200,2.60348,0.942824
0,19,0,0,200,2.60938,1.43239
0,18,0,1,54,0.705637,0.0890752
0,17,0,0,200,2.56632,1.3699
0,16,0,1,69,0.897898,0.0750168
0,15,0,0,200,2.58938,2.00781
0,14,0,0,200,2.58222,0.7801
0,13,0,1,108,1.42271,0.0505232
0,12,0,1,71,0.946647,0.0932284
0,11,0,0,200,2.58793,0.303325
0,10,0,0,200,2.57657,0.646088
0,9,0,1,130,1.69191,0.0264003
0,8,0,0,200,2.60161,11.4708
0,7,0,0,200,2.60795,1.72202
0,6,0,0,200,2.59956,0.922237
0,5,0,0,200,2.61718,0.822679
0,4,0,0,200,2.59435,1.32764
0,3,0,0,200,2.60872,0.881813
0,2,0,1,54,0.706663,0.0561551
0,1,0,0,200,2.60297,1.74844
0,0,0,1,190,2.57904,0.0892473
1,299,0,1,63,0.935247,0.0908755
1,298,0,0,200,2.62883,3.08067
1,297,0,0,200,2.6959,2.05208
1,296,0,1,129,1.72551,0.0745751
1,295,0,0,200,2.63077,0.375777
1,294,0,1,54,0.730121,0.0964811
1,293,0,0,200,2.61729,2.1394
1,292,0,0,200,2.62931,2.37605
1,291,0,0,200,2.63449,1.40138
1,290,0,1,70,0.919818,0.0954674
1,289,0,0,200,2.62783,0.769688
1,288,0,1,90,1.19381,0.0864698
1,287,0,0,200,2.60108,0.895312
1,286,0,0,200,2.63107,1.37511
1,285,0,0,200,2.63659,1.94808
1,284,0,0,200,2.5904,0.921322
1,283,0,0,200,2.58334,1.2459
1,282,0,0,200,2.58485,0.881111
1,281,0,0,200,2.5936,0.655306
1,280,0,1,115,1.48986,0.087087
1,279,0,0,200,2.57771,1.56419
1,278,0,0,200,2.48297,3.7317
1,277,0,0,200,2.57357,0.499446
1,276,0,0,200,2.5861,0.958316
1,275,0,0,200,2.57051,1.04565
1,274,0,1,88,1.14192,0.0999497
1,273,0,0,200,2.56994,0.730669
1,272,0,0,200,2.54829,1.49102
1,271,0,1,193,2.51319,0.0851957
1,270,0,0,200,2.57415,0.668117
1,269,0,1,133,1.73308,0.0718353
1,268,0,0,200,2.57926,2.6752
1,267,0,0,200,2.57402,0.649611
1,266,0,0,200,2.60049,1.70576
1,265,0,0,200,2.57294,1.81361
1,264,0,1,147,1.923,0.0696864
1,263,0,1,168,2.17152,0.0971478
1,262,0,1,84,1.08593,0.097775
1,261,0,0,200,2.58932,0.510333
1,260,0,1,91,1.17778,0.072438
1,259,0,1,113,1.46919,0.0872751
1,258,0,1,140,1.82696,0.0924334
1,257,0,0,200,2.58008,1.83424
1,256,0,1,122,1.57758,0.0591982
1,255,0,0,200,2.57418,0.210873
1,254,0,1,54,0.69578,0.057813
1,253,0,0,200,2.60154,1.19173
1,252,0,0,200,2.73158,1.30013
1,251,0,1,56,0.73059,0.0484533
1,250,0,1,82,1.06228,0.0875886
1,249,0,0,200,2.57805,1.77665
1,248,0,0,200,2.60263,0.707354
1,247,0,0,200,2.59715,0.612903
1,246,0,0,200,2.63387,8.44829
1,245,0,1,162,2.14265,0.0972496
1,244,0,0,200,2.65233,1.37413
1,243,0,1,137,1.80609,0.0994299
1,242,0,0,200,2.56953,1.21472
1,241,0,1,74,0.957602,0.0805734
1,240,0,1,53,0.683559,0.0575534
1,239,0,1,100,1.30345,0.0977871
1,238,0,0,200,2.56633,0.844042
1,237,0,1,98,1.27771,0.0423007
1,236,0,1,95,1.23072,0.0923366
1,235,0,0,200,2.56544,1.2566
1,234,0,0,200,2.59382,0.740609
1,233,0,0,200,2.61459,0.751348
1,232,0,0,200,2.59993,1.23593
1,231,0,0,200,2.58796,1.21445
1,230,0,0,200,2.56873,0.650183
1,229,0,0,200,2.58979,0.599166
1,228,0,1,63,0.818292,0.0887487
1,227,0,0,200,2.58274,4.0172
1,226,0,1,62,0.812563,0.0238871
1,225,0,0,200,2.5892,1.54837
1,224,0,1,142,1.838,0.0771495
1,223,0,0,200,2.57234,1.61344
1,222,0,0,200,2.58615,1.1451
1,221,0,0,200,2.60442,1.39704
1,220,0,1,149,1.92658,0.0335183
1,219,0,0,200,2.58074,0.873273
1,218,0,0,200,2.58046,1.27731
1,217,0,0,200,2.57849,3.62495
1,216,0,0,200,2.59773,0.735226
1,215,0,0,200,2.59371,0.460851
1,214,0,0,200,2.57963,1.76349
1,213,0,0,200,2.57319,1.01947
1,212,0,0,200,2.6148,2.7683
1,211,0,1,70,0.903165,0.0937532
1,210,0,0,200,2.58377,1.02432
1,209,0,0,200,2.61601,1.45487
1,208,0,1,54,0.701642,0.0617118
1,207,0,0,200,2.60006,1.16878
1,206,0,0,200,2.58302,2.74876
1,205,0,0,200,2.59245,0.754591
1,204,0,0,200,2.58988,4.36821
1,203,0,1,50,0.647119,0.0840761
1,202,0,0,200,2.60712,0.634195
1,201,0,1,96,1.2504,0.0751851
1,200,0,0,200,2.57808,0.852316
1,199,0,1,179,2.3568,0.0735212
1,198,0,0,200,2.62078,1.19383
1,197,0,0,200,2.6358,1.89276
1,196,0,0,200,2.64003,1.59566
1,195,0,1,137,1.81653,0.0989824
1,194,0,0,200,2.63762,1.03749
1,193,0,0,200,2.62051,0.989301
1,192,0,1,62,0.822231,0.0842871
1,191,0,0,200,2.63827,0.959793
1,190,0,0,200,2.61545,0.989013
1,189,0,0,200,2.63603,6.49646
1,188,0,1,70,0.926646,0.0998519
1,187,0,0,200,2.63113,1.2333
1,186,0,0,200,2.64941,0.901348
1,185,0,0,200,2.65413,2.51861
1,184,0,1,161,2.1427,0.0534205
1,183,0,1,195,2.58136,0.0851149
1,182,0,0,200,2.62881,0.804051
1,181,0,1,107,1.41522,0.0922395
1,180,0,1,60,0.786296,0.0899234
1,179,0,0,200,2.64783,0.477242
1,178,0,0,200,2.64779,0.616013
1,177,0,0,200,2.65472,2.07714
1,176,0,1,103,1.375,0.0645626
1,175,0,0,200,2.63786,1.15931
1,174,0,0,200,2.60639,1.68567
1,173,0,0,200,2.62428,1.84481
1,172,0,0,200,2.64684,0.920492
1,171,0,1,57,0.752378,0.0413356
1,170,0,0,200,2.58741,0.954008
1,169,0,1,49,0.635608,0.0674507
1,168,0,0,200,2.55161,1.46595
1,167,0,0,200,2.61221,0.695155
1,166,0,0,200,2.60947,0.933132
1,165,0,0,200,2.57829,0.566459
1,164,0,0,200,2.6039,1.47123
1,163,0,1,97,1.26553,0.0883907
1,162,0,1,60,0.771372,0.09599
1,161,0,1,180,2.35201,0.0890538
1,160,0,1,159,2.07625,0.0739298
1,159,0,0,200,2.58708,0.783875
1,158,0,0,200,2.57967,0.593162
1,157,0,0,200,2.5794,1.84278
1,156,0,0,200,2.67533,2.22668
1,155,0,0,200,2.5894,1.22343
1,154,0,1,62,0.799546,0.0464285
1,153,0,1,80,1.08519,0.0085493
1,152,0,0,200,2.65957,1.4082
1,151,0,1,76,1.00817,0.0636076
1,150,0,1,49,0.646021,0.0800841
1,149,0,1,58,0.765251,0.0973302
1,148,0,1,96,1.27498,0.0310475
1,147,0,0,200,2.59794,0.720409
1,146,0,0,200,2.64227,10.2102
1,145,0,1,177,2.34866,0.0533073
1,144,0,1,78,1.03473,0.0751657
1,143,0,0,200,2.6407,1.57602
1,142,0,1,73,0.971126,0.0731613
