299	1	0	47	1.54988	1.93038
298	0	1	38	1.24759	5.84224
297	1	0	146	4.71489	8.24495
296	0	1	198	6.3355	0.722669
295	1	0	48	1.56911	4.106
294	1	0	91	2.93334	1.54645
293	0	1	143	4.62855	8.13819
292	0	1	39	1.28025	0.407375
291	0	1	43	1.40523	0.714706
290	0	1	79	2.54342	5.39137
289	0	1	94	3.07799	4.73889
288	1	0	96	3.10366	10.2125
287	0	1	164	5.31179	5.51188
286	0	1	96	3.10899	0.277453
285	0	1	55	1.81449	4.69469
284	1	0	39	1.26531	1.53391
283	1	0	139	4.46321	4.2642
282	1	0	143	4.59575	2.88235
281	0	1	133	4.31408	2.28567
280	0	1	50	1.63649	4.1369
279	1	0	81	2.63054	3.70192
278	0	1	86	2.7777	0.270296
277	1	0	25	0.841199	3.16483
276	0	1	156	5.03025	10.3083
275	1	0	200	6.45405	2.36051
274	0	1	121	3.92628	0.481415
273	0	1	42	1.38511	6.24404
272	0	1	174	5.57495	0.722899
271	0	1	187	6.02083	4.94573
270	0	1	52	1.69894	1.0355
269	0	1	199	6.41807	9.39324
268	0	1	47	1.56863	4.4867
267	1	0	200	6.40684	0.672457
266	1	0	84	2.75324	3.32119
265	1	0	49	1.60608	4.28168
264	1	0	200	6.38818	3.80862
263	1	0	35	1.16215	2.48314
262	0	1	116	3.72837	0.658792
261	0	1	29	0.985903	1.09941
260	0	1	38	1.24173	4.93643
259	1	0	55	1.78395	3.9016
258	0	1	130	4.18079	1.17168
257	0	1	45	1.47081	0.403242
256	0	1	56	1.81679	1.46327
255	0	1	56	1.82138	7.02734
254	0	1	188	6.09594	1.19492
253	0	1	51	1.67429	6.02421
252	0	1	131	4.22379	1.27899
251	0	1	46	1.51784	0.243357
250	0	1	88	2.83089	4.50269
249	0	1	34	1.12798	1.8707
248	0	1	141	4.56677	3.02162
247	0	1	60	1.96006	0.83035
246	0	1	53	1.7208	0.576005
245	1	0	21	0.69849	2.26918
244	0	1	52	1.68293	0.503331
243	0	1	105	3.36722	2.20318
242	0	1	58	1.91578	2.1741
241	0	1	41	1.34175	1.4978
240	0	1	126	4.06074	0.536592
239	0	1	71	2.31248	2.13914
238	1	0	200	6.41654	3.63188
237	0	1	120	3.91621	5.27922
236	1	0	46	1.51287	1.55575
235	0	1	51	1.65304	2.81241
234	1	0	200	6.38247	8.26856
233	0	1	151	4.87616	2.22581
232	0	1	52	1.71802	3.14385
231	0	1	45	1.4708	1.24164
