map,is_failed,is_landed,iter,elapsed,f_err
76,0,1,28,1.08473,5.16151
75,0,1,160,6.03794,7.90984
74,0,1,103,3.89245,3.58765
73,0,1,37,1.41825,9.19461
72,0,1,49,1.82316,7.25249
71,0,1,120,4.43272,10.3177
70,0,1,165,6.13693,1.01548
69,0,1,56,2.10964,5.97043
68,1,0,200,7.38957,1.12722
67,0,1,33,1.27404,3.25871
66,0,1,80,3.02727,8.70649
65,0,1,39,1.50494,3.64995
64,0,1,134,5.01185,14.9055
63,0,1,48,1.82453,0.431231
62,0,1,45,1.69117,10.8443
61,0,1,29,1.09786,1.1235
60,0,1,64,2.39164,2.84385
59,1,0,200,7.35968,3.32062
58,1,0,200,7.42736,4.07666
57,0,1,76,2.86667,8.07003
56,0,1,151,5.62971,2.77744
55,0,1,41,1.55501,4.02637
54,0,1,17,0.660315,6.67735
53,0,1,54,2.03142,6.8981
52,0,1,199,7.50472,7.86217
51,1,0,200,7.38493,7.75332
50,1,0,200,7.42171,2.03142
49,0,1,49,1.85995,8.16338
48,1,0,43,1.65343,12.2536
47,0,1,63,2.38231,3.58288
46,0,1,68,2.53181,1.5256
45,1,0,200,7.43652,4.47918
44,0,1,93,3.53004,16.9756
43,0,1,102,3.88958,6.84041
42,1,0,200,7.49477,2.03237
41,1,0,20,0.775331,5.73838
40,0,1,78,2.96351,5.75706
39,0,1,85,3.2358,3.19733
38,0,1,186,6.97494,15.7622
37,1,0,200,7.40775,2.86682
36,0,1,90,3.40951,4.75028
35,0,1,81,3.08104,5.91451
34,0,1,171,6.36071,6.60137
33,0,1,25,0.974544,9.76874
32,1,0,124,4.57188,5.13883
31,1,0,61,2.3016,6.13404
30,0,1,73,2.79378,12.7105
29,0,1,50,1.91892,1.16316
28,1,0,200,7.45306,6.23468
27,0,1,154,5.76423,7.80442
26,0,1,40,1.5056,7.55002
25,1,0,155,5.7711,3.81829
24,0,1,128,4.80297,5.77603
23,1,0,200,7.46938,2.0513
22,0,1,46,1.7429,11.8814
21,0,1,121,4.50394,6.40416
20,1,0,200,7.44583,2.1714
19,0,1,48,1.82638,6.05032
18,0,1,52,1.9705,1.02617
17,0,1,47,1.76478,4.5266
16,0,1,195,7.28059,5.80062
15,0,1,31,1.20167,7.09795
14,1,0,200,7.42832,3.68409
13,1,0,180,6.74889,1.02703
12,0,1,21,0.822983,6.75439
11,1,0,200,7.40932,1.16187
10,0,1,55,2.09463,0.565581
9,1,0,200,7.38482,3.91899
8,0,1,42,1.61137,1.41211
7,0,1,44,1.66809,11.6926
6,1,0,61,2.28946,4.52506
5,1,0,200,7.48919,7.44427
4,1,0,200,7.39794,11.4013
3,0,1,138,5.12152,12.0405
2,0,1,28,1.07669,8.78496
1,1,0,200,7.36381,6.81954
0,0,1,35,1.34678,7.44831
