s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
1,209,1,87,8.12755,2.01388,4.00399,0.0173363,2.09234,0.0695087
1,208,1,98,7.95743,2.24022,3.31277,0.0193168,2.38513,0.0895837
1,207,1,93,8.17141,2.11144,3.13276,0.0228375,2.90437,0.0585891
1,206,1,106,7.79974,2.44541,3.4815,0.0180066,1.85482,0.0495321
1,205,1,108,7.74542,2.42687,1.77615,0.0354959,3.5069,0.0995348
1,204,1,93,8.25985,2.12911,3.55819,0.0189843,2.55356,0.096004
1,203,1,108,8.14109,2.49873,2.48104,0.0252165,3.1361,0.0810854
1,202,1,105,8.35036,2.45169,3.68412,0.0179527,2.19659,0.0906553
1,201,0,45,3.36979,1.00279,1.3489,0.00661174,1.01149,2.83559
1,200,0,200,14.2292,4.60557,6.50083,0.0249309,3.09788,0.587919
1,199,1,105,9.07794,2.45859,3.91651,0.0227675,2.68007,0.0728639
1,198,1,98,7.90486,2.36195,3.09536,0.017111,2.43044,0.0932648
1,197,1,99,7.36897,2.25435,2.211,0.0235007,2.88012,0.0690178
1,196,1,86,7.85726,2.1479,3.09836,0.0204696,2.59052,0.0511614
1,195,1,98,8.57788,2.23687,3.74982,0.0205117,2.57067,0.0215443
1,194,1,106,8.01813,2.43862,2.84366,0.0235945,2.71226,0.0341971
1,193,1,93,7.40412,2.10716,2.10506,0.0253695,3.16653,0.0556314
1,192,1,107,8.85376,2.47451,4.11721,0.0166976,2.24534,0.0478507
1,191,1,106,9.16783,2.48262,4.09348,0.0224127,2.56931,0.0905594
1,190,1,87,6.61845,2.01953,2.09179,0.0201558,2.48697,0.0819634
1,189,1,92,7.17521,2.14867,2.67159,0.0212123,2.33373,0.0801156
1,188,1,110,8.56745,2.51393,3.36085,0.0188886,2.67378,0.0792561
1,187,1,107,7.06125,2.40371,1.67214,0.0290877,2.95632,0.0489566
1,186,1,99,7.57147,2.27502,2.40098,0.0234094,2.87206,0.0179579
1,185,1,102,8.22479,2.44694,2.94578,0.0212394,2.81083,0.098351
1,184,1,99,8.81694,2.23531,3.46082,0.021894,3.09891,0.093118
1,183,1,92,7.61867,2.15936,3.03018,0.0173919,2.41174,0.0319684
1,182,1,102,8.90881,2.38201,3.62045,0.0200437,2.8863,0.0777864
1,181,1,92,7.31192,2.12143,2.25988,0.0264832,2.90413,0.0900575
1,180,1,108,8.71695,2.51069,3.11878,0.0248303,3.06265,0.0746889
