Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
72,-0.00900439,-0.606147,-0.27847,-0.0686781,-0.142912,-0.0266069,1.72238
73,-0.0840044,-0.531147,-0.20347,-0.0310252,-0.131022,-0.0116135,1.75503
74,-0.00900439,-0.51437,-0.12847,-0.0225632,-0.115659,0.0463162,1.67119
75,0.000459791,-0.503434,-0.193607,-0.00829168,-0.215659,0.0747974,1.67602
76,0.0754598,-0.544351,-0.118607,-0.040156,-0.209494,0.0712271,1.61152
77,0.0165374,-0.469351,-0.129749,0.0234816,-0.210056,0.128313,1.64742
78,-0.0285321,-0.401528,-0.125452,-0.0765184,-0.110056,0.112276,1.66295
79,-0.0396918,-0.326528,-0.0977627,-0.112528,-0.136274,0.130982,1.66079
80,-0.0272915,-0.341809,-0.0227627,-0.0875229,-0.0362736,0.1107,1.64087
81,-0.102291,-0.276804,-0.0977627,-0.112091,-0.0231915,0.10872,1.70597
82,-0.177291,-0.201804,-0.172763,-0.178005,-0.00521649,0.0194238,1.77721
83,-0.114213,-0.126804,-0.160673,-0.0780053,-0.0806133,0.00667596,1.70111
84,-0.141593,-0.201804,-0.224484,-0.0429206,0.0193867,0.00953398,1.73946
85,-0.0665931,-0.228072,-0.274059,-0.0312606,-0.0658017,0.0587583,1.67837
86,-0.0468947,-0.303072,-0.199059,-0.111718,0.0121685,0.0486124,1.66235
87,-0.0666737,-0.360243,-0.274059,-0.136449,0.0650759,-0.0513876,1.70637
88,-0.128207,-0.383557,-0.199994,-0.154433,0.165076,0.0486124,1.76839
89,-0.174424,-0.458557,-0.12825,-0.0965715,0.100421,0.0800533,1.81613
90,-0.185154,-0.474191,-0.140296,-0.137355,0.0376569,0.0523859,1.83055
91,-0.241074,-0.420458,-0.14451,-0.181631,0.124674,0.152386,1.88475
92,-0.166074,-0.405243,-0.21951,-0.230974,0.0359729,0.220586,1.82549
93,-0.198289,-0.430553,-0.204819,-0.223695,0.0736738,0.166622,1.85478
94,-0.123289,-0.432311,-0.279819,-0.227498,0.0196376,0.195449,1.79596
95,-0.0915432,-0.507311,-0.354819,-0.193672,-0.0746804,0.263776,1.80535
96,-0.103899,-0.432311,-0.364302,-0.290458,-0.0763688,0.239169,1.80876
97,-0.13418,-0.507311,-0.289302,-0.32452,-0.0280967,0.196196,1.8419
98,-0.168919,-0.582311,-0.364302,-0.362453,-0.128097,0.110398,1.91269
99,-0.105092,-0.528117,-0.439302,-0.319773,-0.141367,0.139925,1.84995
100,-0.0300919,-0.582547,-0.454198,-0.269378,-0.188733,0.11947,1.79749
101,-0.0931758,-0.569064,-0.379198,-0.169378,-0.232364,0.116937,1.82559
102,-0.110344,-0.635306,-0.336512,-0.269378,-0.207419,0.0169373,1.85983
103,-0.151572,-0.652444,-0.320906,-0.293536,-0.297273,0.0732837,1.91706
104,-0.0770996,-0.606319,-0.284112,-0.233248,-0.317334,0.065552,1.82299
105,-0.0020996,-0.531319,-0.209112,-0.133248,-0.284109,0.00516158,1.70251
106,-0.057715,-0.456319,-0.205755,-0.157588,-0.267712,0.0150066,1.73186
107,0.017285,-0.531319,-0.280755,-0.224891,-0.281701,-0.0555536,1.70515
108,-0.0168739,-0.565008,-0.315453,-0.200031,-0.25986,-0.155554,1.75248
109,0.0135993,-0.640008,-0.241196,-0.27595,-0.246116,-0.0614628,1.74159
110,-0.0231418,-0.618052,-0.255216,-0.219797,-0.16605,-0.0592732,1.75133
111,-0.0981418,-0.693008,-0.180216,-0.274568,-0.150011,-0.100431,1.84555
112,-0.173142,-0.69327,-0.194623,-0.267525,-0.176812,-0.126188,1.91796
113,-0.0981418,-0.76827,-0.269623,-0.227597,-0.184336,-0.0867362,1.88191
114,-0.154649,-0.729038,-0.250048,-0.127597,-0.142362,-0.103735,1.90223
115,-0.174335,-0.804038,-0.175048,-0.027597,-0.233575,-0.0625042,1.94469
116,-0.159749,-0.879038,-0.127187,0.00631121,-0.279433,0.00994328,1.96517
117,-0.196471,-0.954038,-0.202187,0.0764752,-0.233859,-0.00640926,2.03344
118,-0.271471,-1.02904,-0.180492,0.0745199,-0.133859,-0.0483184,2.12397
119,-0.223525,-1.04559,-0.210715,0.021149,-0.061703,-0.0988705,2.09076
120,-0.218466,-0.988642,-0.285715,0.00990278,-0.161703,-0.104868,2.0731
121,-0.143466,-1.00582,-0.282214,-0.0900972,-0.142363,-0.183999,2.02293
122,-0.107347,-1.00843,-0.250489,-0.00314426,-0.1091,-0.27354,1.99564
123,-0.0323474,-1.08343,-0.189959,0.0968557,-0.0610228,-0.273882,1.96674
124,0.00221546,-1.15843,-0.198025,0.154947,0.0250269,-0.198787,1.9763
125,0.00289225,-1.20218,-0.17284,0.232915,0.0847385,-0.191352,2.00786
126,0.0778923,-1.12718,-0.127385,0.246053,0.0465361,-0.23532,1.9062
127,0.0571598,-1.20218,-0.202385,0.292816,-0.0534639,-0.273649,1.98514
128,-0.0178402,-1.26562,-0.127385,0.232694,-0.142227,-0.373649,2.08705
129,-0.0872575,-1.34062,-0.201541,0.18028,-0.0951253,-0.473649,2.20294
130,-0.0122575,-1.36203,-0.180384,0.150863,-0.144095,-0.573649,2.18319
131,-0.0872575,-1.43703,-0.255384,0.250863,-0.135189,-0.530804,2.28963
132,-0.0798518,-1.51203,-0.180384,0.231158,-0.0351886,-0.518952,2.31677
133,-0.00485179,-1.46481,-0.105384,0.131158,-0.0244235,-0.517305,2.2192
134,-0.000190623,-1.48101,-0.16426,0.0369529,0.0755765,-0.531211,2.23106
135,0.0657435,-1.55589,-0.0892604,0.0480463,0.147677,-0.630493,2.26176
136,-0.00925649,-1.50091,-0.070809,0.148046,0.16324,-0.640921,2.28335
137,0.0657435,-1.42591,-0.145809,0.146137,0.0936065,-0.669883,2.19056
138,0.0319165,-1.35091,-0.182506,0.0461366,-0.00639347,-0.621217,2.14814
139,0.019071,-1.34014,-0.254476,0.0836597,-0.0667222,-0.702065,2.1847
140,-0.0495993,-1.41514,-0.179476,0.104759,0.0332778,-0.635025,2.25296
141,-0.0235123,-1.49014,-0.104476,0.00475882,0.129296,-0.591239,2.26706
142,-0.0522048,-1.41514,-0.179476,-0.0908718,0.138203,-0.548687,2.23548
143,-0.0532722,-1.34014,-0.243845,-0.148223,0.0434511,-0.448687,2.17214
144,-0.0824668,-1.41514,-0.263068,-0.0883682,-0.00879141,-0.458684,2.24129
145,-0.104781,-1.38346,-0.271224,-0.182106,-0.108791,-0.553682,2.26862
146,-0.179781,-1.30846,-0.196224,-0.215143,-0.0874919,-0.50552,2.26376
147,-0.151926,-1.23346,-0.271224,-0.291719,-0.0717553,-0.464075,2.20644
148,-0.125497,-1.25244,-0.30605,-0.345449,-0.0809174,-0.374111,2.19215
149,-0.200497,-1.32744,-0.373684,-0.427297,-0.111048,-0.38596,2.32015
150,-0.275497,-1.39771,-0.298684,-0.476329,-0.2015,-0.433253,2.43039
151,-0.246745,-1.46693,-0.223684,-0.548297,-0.242865,-0.432133,2.46003
152,-0.171745,-1.54193,-0.163812,-0.550394,-0.329364,-0.532133,2.47698
153,-0.143887,-1.51928,-0.185231,-0.492616,-0.328874,-0.514957,2.42872
154,-0.0998625,-1.54387,-0.225554,-0.448381,-0.237592,-0.518801,2.39837
155,-0.174861,-1.59127,-0.30055,-0.357719,-0.291191,-0.555662,2.48823
156,-0.099861,-1.66627,-0.361642,-0.427167,-0.239233,-0.523314,2.49237
157,-0.0827421,-1.70856,-0.436642,-0.385436,-0.318165,-0.623314,2.54604
158,-0.00774213,-1.78356,-0.382016,-0.285436,-0.303062,-0.623806,2.52612
159,-0.0544073,-1.75456,-0.376471,-0.185436,-0.366901,-0.695485,2.55229
160,-0.00948505,-1.7664,-0.417947,-0.268497,-0.360334,-0.604331,2.52176
161,0.0452353,-1.81855,-0.388888,-0.319142,-0.333424,-0.537363,2.50749
162,0.0138102,-1.83979,-0.350397,-0.350669,-0.320477,-0.485999,2.52857
163,0.0489664,-1.8448,-0.328872,-0.328137,-0.275754,-0.414362,2.48653
164,0.0823913,-1.7698,-0.253872,-0.253886,-0.375754,-0.314362,2.39092
165,0.147631,-1.71185,-0.178872,-0.241172,-0.472218,-0.338495,2.32025
166,0.121033,-1.71584,-0.230526,-0.236923,-0.572044,-0.373502,2.37106
167,0.0685042,-1.79084,-0.267669,-0.163873,-0.489395,-0.336381,2.43211
168,0.133325,-1.85788,-0.342669,-0.133636,-0.405016,-0.311012,2.43189
169,0.143006,-1.93288,-0.409798,-0.10314,-0.366521,-0.338703,2.49043
170,0.199413,-2.00788,-0.484798,-0.132566,-0.323156,-0.313073,2.52336
171,0.274413,-2.05248,-0.46309,-0.0740425,-0.315271,-0.398414,2.52416
172,0.279757,-2.12748,-0.439641,0.0257055,-0.406685,-0.341461,2.58242
173,0.23345,-2.09567,-0.408451,-0.00847214,-0.314783,-0.340562,2.5617
174,0.276575,-2.02067,-0.356946,-0.0887192,-0.414783,-0.418412,2.4981
175,0.351575,-2.09567,-0.302184,-0.126469,-0.477674,-0.331884,2.51475
176,0.385645,-2.11897,-0.227184,-0.0337796,-0.467498,-0.272431,2.49803
177,0.401063,-2.19397,-0.302184,-0.0185348,-0.543059,-0.172431,2.56867
178,0.38228,-2.11897,-0.227184,0.0786098,-0.643059,-0.208018,2.53322
179,0.44336,-2.11452,-0.217537,0.11897,-0.543059,-0.272863,2.48458
180,0.36836,-2.04524,-0.292537,0.182205,-0.443059,-0.368529,2.46572
181,0.29336,-2.03963,-0.217537,0.0822054,-0.395657,-0.327364,2.47179
182,0.21836,-2.11463,-0.292537,0.13045,-0.369947,-0.271739,2.57178
183,0.271725,-2.06527,-0.367537,0.106801,-0.383789,-0.367937,2.52628
184,0.346725,-2.0132,-0.292537,0.146678,-0.483789,-0.467937,2.47213
185,0.421725,-2.0882,-0.367537,0.0466781,-0.439501,-0.443619,2.49162
186,0.464845,-2.15419,-0.442537,-0.0505388,-0.421562,-0.430718,2.53481
187,0.539845,-2.1099,-0.517537,0.00968823,-0.384103,-0.353611,2.4607
188,0.533779,-2.1849,-0.451582,-0.0364367,-0.336162,-0.253611,2.49635
189,0.458779,-2.2599,-0.526582,-0.0816081,-0.348785,-0.285272,2.61356
190,0.533779,-2.1849,-0.531814,-0.178083,-0.248785,-0.270982,2.50979
191,0.553754,-2.1099,-0.521317,-0.278083,-0.249957,-0.244765,2.44081
192,0.628754,-2.0349,-0.53746,-0.27581,-0.2959,-0.255177,2.35496
193,0.553754,-2.1099,-0.471143,-0.258965,-0.306418,-0.281495,2.4389
194,0.628754,-2.1849,-0.546143,-0.341275,-0.270286,-0.369753,2.50714
195,0.583312,-2.1099,-0.471143,-0.241379,-0.344342,-0.41645,2.44929
196,0.627583,-2.07824,-0.476792,-0.267863,-0.304933,-0.368342,2.39509
197,0.649806,-2.15324,-0.505595,-0.33128,-0.333469,-0.33855,2.46493
198,0.724806,-2.22824,-0.430595,-0.272241,-0.292341,-0.43855,2.49361
199,0.649806,-2.15324,-0.41379,-0.251704,-0.277833,-0.33855,2.43127
200,0.670004,-2.12034,-0.48879,-0.174154,-0.242999,-0.37565,2.40347
201,0.643171,-2.19534,-0.440882,-0.150824,-0.204164,-0.292861,2.4545
202,0.651114,-2.14031,-0.365882,-0.15545,-0.113976,-0.192861,2.3738
203,0.716464,-2.21531,-0.353705,-0.0796601,-0.174177,-0.139328,2.41219
204,0.764261,-2.16866,-0.287642,-0.0906613,-0.25095,-0.070429,2.34787
205,0.839261,-2.09366,-0.212642,-0.190661,-0.24336,-0.101903,2.25161
206,0.914261,-2.01866,-0.168475,-0.0906613,-0.34336,-0.0648769,2.1598
207,0.989261,-2.09366,-0.243475,-0.0662597,-0.327891,-0.092154,2.21388
208,0.914261,-2.11799,-0.318475,0.0126257,-0.411156,-0.027773,2.27779
209,0.942565,-2.17305,-0.243887,-0.00486421,-0.436196,-0.0771017,2.31788
210,0.895908,-2.10829,-0.318887,-0.0322786,-0.457018,-0.036945,2.28327
211,0.839263,-2.09152,-0.309549,-0.103512,-0.461044,0.0246672,2.28677
212,0.903511,-2.01652,-0.235384,-0.0538993,-0.456648,-0.0507826,2.18656
213,0.828511,-1.94152,-0.25339,0.0322749,-0.515678,0.0435742,2.15721
214,0.869705,-1.91101,-0.32839,-0.0449072,-0.549711,0.105127,2.13695
215,0.944705,-1.9619,-0.27548,-0.071466,-0.476289,0.131685,2.13687
216,0.990653,-2.0369,-0.20048,-0.0306225,-0.552341,0.0997929,2.20039
217,1.00978,-2.1119,-0.12548,-0.0256119,-0.642462,0.179401,2.28828
218,1.08478,-2.0369,-0.20048,-0.0800566,-0.742462,0.231599,2.24425
219,1.00978,-1.97103,-0.12548,-0.14774,-0.84094,0.17181,2.23024
220,1.08478,-2.04603,-0.160406,-0.162444,-0.805793,0.0718103,2.26474
221,1.00978,-2.03753,-0.235406,-0.0624442,-0.760985,0.0577933,2.26009
222,1.0333,-1.96253,-0.265514,0.0375558,-0.736885,0.0550722,2.18137
223,1.1083,-2.03753,-0.26139,-0.0184133,-0.70325,0.131281,2.22393
224,1.1082,-2.06921,-0.308343,0.0410668,-0.610585,0.21996,2.2391
225,1.1832,-2.10176,-0.383343,0.0748567,-0.703499,0.12644,2.28716
226,1.2582,-2.1236,-0.308343,0.174857,-0.603499,0.137639,2.2619
227,1.3332,-2.12319,-0.233343,0.0829714,-0.667236,0.211249,2.26176
228,1.2582,-2.19819,-0.275349,0.0878632,-0.567236,0.223912,2.3206
229,1.27261,-2.18994,-0.281249,0.0199729,-0.542538,0.136878,2.29725
230,1.27432,-2.2002,-0.257173,-0.0697574,-0.464531,0.0550188,2.28442
231,1.34932,-2.1252,-0.205168,-0.0825958,-0.479739,0.155019,2.20649
232,1.38589,-2.0502,-0.280168,-0.00385923,-0.487214,0.253937,2.14892
233,1.37629,-1.9752,-0.251493,-0.103859,-0.420433,0.339486,2.07492
234,1.30129,-1.9002,-0.325273,-0.152975,-0.435265,0.316683,2.02542
235,1.37629,-1.8252,-0.400273,-0.177928,-0.418955,0.36909,1.96794
236,1.45129,-1.83547,-0.391795,-0.174593,-0.435822,0.278159,1.9582
237,1.51875,-1.77697,-0.382989,-0.111589,-0.447318,0.234256,1.89062
238,1.5002,-1.75768,-0.411826,-0.125743,-0.53774,0.211488,1.90098
239,1.46128,-1.72365,-0.486826,-0.190331,-0.599998,0.285127,1.92288
240,1.44403,-1.64865,-0.464124,-0.124637,-0.499998,0.254471,1.81102
241,1.39442,-1.67659,-0.50386,-0.198794,-0.49573,0.184976,1.84808
242,1.45356,-1.75159,-0.518725,-0.276854,-0.484579,0.0866014,1.91568
243,1.47013,-1.67659,-0.520381,-0.275631,-0.462961,0.0434274,1.83958
244,1.45522,-1.75159,-0.445381,-0.264367,-0.441325,0.00230669,1.88267
245,1.51926,-1.82659,-0.370381,-0.274431,-0.345518,-0.0482179,1.91658
246,1.59426,-1.90159,-0.295381,-0.26607,-0.403852,0.0517821,1.98504
247,1.56725,-1.9648,-0.220381,-0.36607,-0.337487,0.0464516,2.03938
248,1.49225,-1.8898,-0.145381,-0.383366,-0.286254,0.00765122,1.95643
249,1.41725,-1.9648,-0.166596,-0.360676,-0.246051,-0.0160444,2.0255
250,1.38523,-2.0398,-0.196351,-0.408109,-0.297025,0.0839556,2.12028
251,1.31023,-2.06677,-0.160064,-0.351701,-0.22053,0.014666,2.13017
252,1.35532,-2.14177,-0.184067,-0.313729,-0.259938,-0.0317387,2.19875
253,1.42317,-2.07034,-0.109067,-0.227946,-0.193533,-0.107823,2.10263
254,1.35764,-1.99534,-0.0340672,-0.19465,-0.0959629,-0.130551,2.0229
255,1.28264,-1.92733,0.0409328,-0.211436,-0.122165,-0.125828,1.96844
256,1.20764,-1.85233,0.0650993,-0.236803,-0.222165,-0.168535,1.92382
257,1.28264,-1.92733,-0.00990071,-0.288306,-0.196336,-0.241716,1.99445
258,1.31559,-1.9633,0.0258728,-0.367189,-0.0963355,-0.256279,2.03227
259,1.39059,-1.96038,0.100873,-0.334783,-0.0160419,-0.158467,2.00579
260,1.46559,-1.99577,0.154163,-0.391536,-0.00157662,-0.203529,2.05248
261,1.54059,-2.07077,0.229163,-0.368425,0.0717326,-0.275858,2.13506
262,1.61559,-2.01393,0.237241,-0.417331,0.0397009,-0.328161,2.09706
263,1.69059,-1.93893,0.281635,-0.400607,0.0470256,-0.343849,2.03324
264,1.76559,-1.86393,0.206635,-0.343348,0.147026,-0.358679,1.95526
265,1.72186,-1.78893,0.234109,-0.28627,0.0827262,-0.316197,1.8619
266,1.67577,-1.71393,0.164567,-0.355381,0.139798,-0.343926,1.79994
267,1.70259,-1.65633,0.239567,-0.315063,0.116544,-0.358621,1.74919
268,1.62759,-1.58133,0.176421,-0.313441,0.14295,-0.379721,1.67267
269,1.55259,-1.59836,0.188505,-0.25247,0.057588,-0.338063,1.66492
