iter,x,y,theta,v
139,2.70277,0.416311,0.218965,0.0758364
140,2.71017,0.417959,0.222296,0.248179
141,2.73438,0.42343,0.343661,0.131374
142,2.74675,0.427857,0.330536,-0.0796655
143,2.73922,0.425271,0.306362,-0.0137868
144,2.7379,0.424855,0.299469,-0.0283673
145,2.73519,0.424019,0.296382,-0.2752
146,2.70887,0.415981,0.362354,-0.207581
147,2.68946,0.408623,0.308525,0.0924173
148,2.69827,0.411429,0.350621,-0.184373
149,2.68095,0.405096,0.299283,-0.250344
150,2.65703,0.397715,0.209148,-0.178685
151,2.63955,0.394005,0.258279,-0.263932
152,2.61403,0.387264,0.126882,-0.225365
153,2.59168,0.384412,0.227999,-0.0760784
154,2.58427,0.382693,0.235435,-0.017123
155,2.5826,0.382293,0.228115,0.188534
156,2.60097,0.386557,0.133859,0.232707
157,2.62403,0.389662,0.139697,0.0656821
158,2.63053,0.390577,0.15578,0.223764
159,2.65264,0.394049,0.233359,0.520478
160,2.70327,0.406085,0.268265,0.433416
161,2.74507,0.417573,0.378195,0.227931
162,2.76625,0.425989,0.370098,-0.0720677
163,2.75953,0.423382,0.406132,-0.232138
164,2.7382,0.414211,0.386738,0.00490855
165,2.73866,0.414396,0.388365,0.118766
166,2.74965,0.418894,0.422358,-0.141116
167,2.73678,0.413109,0.399749,-0.391152
168,2.70075,0.397886,0.595325,-0.0911601
169,2.6932,0.392774,0.610449,-0.252629
170,2.6725,0.378293,0.57546,-0.280886
171,2.64893,0.363006,0.642464,0.0190147
172,2.65046,0.364145,0.635995,-0.25156
173,2.63022,0.349203,0.579649,0.0483353
174,2.63426,0.351851,0.57046,0.13499
175,2.64563,0.359141,0.503002,0.43493
176,2.68373,0.380107,0.711913,0.185638
177,2.69779,0.392234,0.753833,-0.082317
178,2.69178,0.3866,0.728219,0.217677
179,2.70803,0.401087,0.679892,-0.0823171
180,2.70163,0.395912,0.720107,0.0675348
181,2.70671,0.400366,0.686356,0.193361
182,2.72166,0.412619,0.663545,0.107752
183,2.73015,0.419256,0.672213,0.040357
184,2.73331,0.421769,0.673953,-0.213809
185,2.7166,0.408426,0.567049,-0.367514
186,2.68561,0.388685,0.42985,-0.171252
187,2.67004,0.381548,0.470453,-0.0142507
188,2.66877,0.380902,0.463327,-0.0540783
189,2.66393,0.378485,0.461037,0.212034
190,2.68292,0.387918,0.425247,0.158049
191,2.69732,0.394439,0.504272,0.179213
192,2.71301,0.403098,0.466359,0.31619
193,2.74125,0.417315,0.308264,0.237705
194,2.7639,0.424527,0.426346,0.0807131
195,2.77125,0.427865,0.466677,-0.0684016
196,2.76514,0.424787,0.465767,0.172471
197,2.78055,0.432533,0.552002,-0.0544131
198,2.77592,0.429679,0.532271,-0.122796
199,2.76534,0.423448,0.587901,0.0582763
