map,is_failed,is_landed,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
145,0,1,123,1.70129,1.22253,0.272037,0.00212251,0.204595,0.0983879
144,0,1,134,1.87907,1.3347,0.316316,0.00288334,0.225173,0.423532
143,0,1,126,1.78168,1.25386,0.313661,0.0035917,0.210568,0.28605
142,0,1,130,1.88421,1.29327,0.351879,0.00331648,0.235746,0.191566
141,0,1,138,2.12725,1.37425,0.521151,0.00380045,0.228058,0.787022
140,0,1,171,2.51522,1.70365,0.489491,0.00407604,0.318,0.302084
139,0,1,173,2.41734,1.7168,0.38519,0.00466025,0.310689,0.0774199
138,0,1,116,1.63397,1.15342,0.279276,0.0033674,0.197908,0.339536
137,0,1,86,1.27987,0.856855,0.242312,0.00209494,0.178608,4.0421
136,0,1,141,1.97437,1.40438,0.320695,0.00304573,0.246248,0.325385
135,0,1,140,1.92531,1.38827,0.304132,0.00388391,0.229026,0.305293
134,0,1,117,1.67129,1.16651,0.298834,0.00337479,0.202565,0.261405
133,1,0,200,2.72025,1.96472,0.428991,0.00699348,0.319539,1.96272
132,0,1,127,1.76056,1.26546,0.270397,0.00275142,0.221953,0.431162
131,0,1,129,1.80837,1.28718,0.29192,0.0027032,0.226559,0.175517
130,0,1,132,1.88315,1.3121,0.337683,0.00396292,0.229412,0.334789
129,0,1,105,1.46736,1.04833,0.22793,0.00217145,0.18893,0.287413
128,0,1,130,1.85504,1.29657,0.340913,0.00357576,0.213986,0.235988
127,1,0,200,2.70977,1.9711,0.423897,0.00405769,0.31071,1.58544
126,0,1,128,1.7305,1.27253,0.229783,0.00266793,0.22552,0.423177
125,0,1,95,1.36502,0.950468,0.249208,0.00167303,0.163667,4.36325
124,0,1,140,1.95572,1.39022,0.328282,0.00392465,0.233293,0.734361
123,1,0,200,2.73857,1.96594,0.435349,0.0055418,0.331742,1.49912
122,0,1,141,2.00249,1.39856,0.36338,0.00299352,0.237554,0.750312
121,0,1,196,2.73777,1.94321,0.453767,0.00406604,0.336733,1.05616
120,1,0,200,2.73208,1.97097,0.429561,0.00594662,0.325603,3.35648
119,0,1,156,2.26468,1.55164,0.428721,0.00366583,0.28066,0.388469
118,0,1,125,1.75393,1.24802,0.270799,0.0034312,0.231677,0.146098
117,1,0,200,2.82271,1.97147,0.509327,0.00475189,0.337162,0.568225
116,0,1,166,2.27013,1.64933,0.341371,0.00480424,0.274618,0.411197
115,0,1,184,2.47909,1.82366,0.348297,0.00509303,0.30204,1.23797
114,1,0,200,2.75589,1.97019,0.460591,0.00526368,0.319846,2.00444
113,0,1,129,1.85692,1.28764,0.356383,0.00411633,0.20878,0.401404
112,0,1,126,1.8565,1.25454,0.390944,0.00337083,0.207641,0.336817
111,1,0,200,2.75859,1.96995,0.453468,0.00365704,0.331517,1.21306
110,1,0,200,2.78531,1.97519,0.501369,0.00385197,0.304895,1.05727
109,0,1,123,1.72448,1.22,0.287701,0.00235579,0.214419,0.368393
108,0,1,113,1.54126,1.12675,0.216699,0.00285204,0.194954,0.185208
107,1,0,200,2.63285,1.97018,0.343491,0.00526138,0.313917,1.44273
106,0,1,138,1.96399,1.37556,0.343295,0.0025806,0.242556,0.334123
105,0,1,109,1.54437,1.08532,0.269428,0.0022894,0.187334,0.402195
104,0,1,108,1.52479,1.07343,0.252038,0.00218027,0.197146,0.125122
103,0,1,118,1.71809,1.17711,0.317458,0.00244981,0.221075,0.21335
102,0,1,132,1.78297,1.30858,0.256824,0.00383197,0.213731,0.157872
101,0,1,135,1.859,1.3423,0.275153,0.00356208,0.237988,0.204881
100,0,1,135,1.98216,1.34303,0.402248,0.00310287,0.233779,0.315677
99,0,1,171,2.41386,1.6985,0.414634,0.00533863,0.295387,0.545598
98,0,1,129,1.86134,1.28449,0.32644,0.00327117,0.247141,0.366399
97,1,0,200,2.73319,1.97368,0.445515,0.00563236,0.308361,1.75716
96,0,1,143,2.01431,1.41916,0.3438,0.00347439,0.247876,0.635849
95,0,1,139,1.96565,1.38616,0.345893,0.00309396,0.2305,0.569355
94,0,1,119,1.6542,1.18501,0.271996,0.00366513,0.193532,0.215378
93,0,1,109,1.48439,1.08341,0.218344,0.00305073,0.179591,0.19778
92,0,1,164,2.33155,1.62901,0.398314,0.00465522,0.299569,0.502015
91,0,1,145,2.05475,1.43932,0.360998,0.00271527,0.251712,0.21516
90,1,0,200,2.67794,1.97167,0.397846,0.00393333,0.304492,1.56595
89,0,1,117,1.66116,1.16504,0.290148,0.00293137,0.203041,0.0569176
88,0,1,122,1.62458,1.21492,0.199426,0.00252581,0.207712,0.149645
87,1,0,200,2.73198,1.96752,0.44856,0.00415833,0.311744,1.53766
