s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
0,299,1,120,2.97979,0.133008,1.50267,0.288276,1.05583,0.0682393
0,298,1,84,2.35774,0.0953358,1.5277,0.146492,0.588221,0.0767865
0,297,1,100,3.16299,0.113531,1.77085,0.240943,1.03766,0.0787413
0,296,1,96,3.36836,0.110899,1.66176,0.270069,1.32564,0.0775559
0,295,1,84,3.22835,0.0924702,1.25999,0.348569,1.52732,0.0836345
0,294,1,89,2.36654,0.0971822,1.01451,0.268771,0.986075,0.0988284
0,293,1,87,2.64819,0.0996901,1.32146,0.210305,1.01674,0.0967637
0,292,1,107,4.33012,0.119146,2.00582,0.386594,1.81857,0.0980167
0,291,1,78,4.07985,0.0855864,1.80564,0.425752,1.76288,0.0982188
0,290,1,107,4.29918,0.118675,1.83244,0.427005,1.92107,0.0815015
0,289,1,104,3.43315,0.11984,1.93141,0.286577,1.09532,0.087295
0,288,1,88,2.68872,0.103163,1.61322,0.202312,0.770019,0.0812989
0,287,1,118,3.23627,0.13946,1.92078,0.218863,0.957165,0.0688256
0,286,1,109,3.70805,0.123076,1.51841,0.375669,1.69089,0.0872697
0,285,0,85,1.82274,0.0989261,1.49579,0.0307298,0.197294,3.65725
0,284,1,85,3.84097,0.0949412,1.38514,0.472804,1.88808,0.0650932
0,283,1,83,2.30886,0.0952245,1.02925,0.236209,0.948173,0.0909862
0,282,1,77,3.40371,0.0881651,1.43853,0.341613,1.5354,0.0634055
0,281,1,105,4.41254,0.117135,2.30583,0.400442,1.58914,0.0897919
0,280,1,108,3.93567,0.119774,1.78757,0.382546,1.64577,0.0703509
0,279,1,96,3.17785,0.108569,1.81637,0.266119,0.9868,0.0811314
0,278,1,81,3.96872,0.101078,1.62266,0.400925,1.84405,0.0575258
0,277,1,86,4.38294,0.0992111,2.11992,0.407738,1.75607,0.0900949
0,276,1,81,4.25777,0.0983299,2.23888,0.384442,1.53612,0.0496978
0,275,1,97,2.98087,0.117724,1.674,0.252328,0.936823,0.061886
0,274,1,84,4.32874,0.0999195,2.22367,0.372296,1.63285,0.0147825
0,273,0,200,5.23922,0.235289,3.00368,0.343784,1.65647,0.328934
0,272,1,91,4.15839,0.106607,1.95645,0.399016,1.69631,0.0564944
0,271,1,90,3.2106,0.110262,1.95373,0.238056,0.908552,0.0783884
0,270,1,94,4.437,0.112314,1.64929,0.533827,2.14157,0.0993389
0,269,1,92,3.18157,0.105475,1.64757,0.290124,1.1384,0.09997
0,268,1,99,3.18846,0.112594,1.74406,0.259305,1.0725,0.0851206
0,267,1,85,3.67274,0.0975674,1.59929,0.347359,1.62852,0.0916894
0,266,1,115,3.828,0.12797,2.26732,0.299193,1.13351,0.0952102
0,265,1,84,2.61292,0.0925434,1.27822,0.202573,1.03959,0.0908435
0,264,1,74,3.45827,0.0864177,1.5361,0.35716,1.47859,0.0861439
0,263,1,86,3.27024,0.0978947,1.12915,0.361144,1.68205,0.0448962
0,262,1,93,3.69455,0.106274,1.84311,0.346714,1.39846,0.0981839
0,261,1,86,4.08742,0.0964717,1.76285,0.394845,1.83326,0.0994325
0,260,1,81,2.77596,0.094857,1.31118,0.266577,1.10334,0.0752732
0,259,1,75,3.48953,0.0891122,1.46363,0.35627,1.58052,0.086723
0,258,1,97,4.09557,0.114905,1.9438,0.393389,1.64347,0.0710318
0,257,1,82,3.82892,0.0945659,1.72488,0.364101,1.64537,0.0601594
0,256,1,95,3.88812,0.109734,1.75836,0.36588,1.65415,0.0997076
0,255,0,200,5.00769,0.216353,2.71781,0.414895,1.65864,0.41774
0,254,1,105,3.92108,0.116395,2.0131,0.368475,1.4231,0.0729768
0,253,1,71,3.22613,0.0826196,1.46808,0.309379,1.36606,0.0919033
0,252,1,86,3.90395,0.100241,1.86896,0.351954,1.5828,0.0639893
0,251,1,107,4.09444,0.120234,2.20114,0.353954,1.41911,0.0995768
0,250,1,170,4.25849,0.194676,3.33148,0.149783,0.582551,0.0936757
0,249,1,80,2.63332,0.0926645,1.21579,0.256454,1.06841,0.0636326
0,248,0,76,1.19223,0.0872136,0.907713,0.0277489,0.169551,3.56915
0,247,1,74,3.71786,0.0850315,1.66223,0.379529,1.59107,0.0233188
0,246,1,85,4.01733,0.100286,1.81485,0.386247,1.71595,0.0897725
0,245,1,115,3.41235,0.138174,1.98152,0.261659,1.031,0.079718
0,244,1,76,3.4732,0.086833,1.56594,0.33357,1.48686,0.0997456
0,243,1,85,4.00748,0.0968464,1.82981,0.409065,1.67175,0.0652676
0,242,1,75,3.61238,0.0839975,1.48101,0.346634,1.70075,0.0855856
0,241,1,73,3.42265,0.0843531,1.45378,0.326611,1.5579,0.0472436
0,240,1,77,3.68328,0.0864251,1.44408,0.396163,1.75661,0.0722759
0,239,1,92,4.10535,0.102935,1.93353,0.396564,1.67232,0.087181
0,238,1,114,3.35114,0.13842,2.56635,0.129364,0.517007,0.0752286
0,237,1,86,3.75294,0.0961674,1.61863,0.383508,1.65464,0.0660431
0,236,1,86,4.05708,0.0980377,1.92998,0.356906,1.67215,0.0822869
0,235,1,97,2.83732,0.109877,1.10569,0.271309,1.35044,0.0957317
0,234,1,75,3.14546,0.0916758,1.75094,0.265067,1.03778,0.0981381
0,233,1,94,5.26023,0.112133,2.31229,0.519255,2.31655,0.0996693
0,232,1,75,3.87308,0.0909531,2.03921,0.34979,1.39313,0.0580812
0,231,1,80,3.93439,0.0987006,2.51591,0.274505,1.04527,0.0735257
0,230,1,94,4.64853,0.116208,2.3021,0.354261,1.87596,0.0672305
0,229,1,100,3.61506,0.120637,1.67478,0.302046,1.51759,0.0956359
0,228,1,79,3.31651,0.0948811,1.5804,0.318776,1.32245,0.0311202
0,227,1,107,4.37252,0.13013,1.58202,0.453311,2.20706,0.0263751
0,226,1,93,4.92857,0.112184,1.82226,0.636478,2.35765,0.0958357
0,225,1,105,4.27739,0.124011,1.78808,0.460281,1.90502,0.0888981
0,224,1,90,3.00973,0.107803,1.37796,0.264161,1.2598,0.0961591
0,223,1,82,3.98976,0.100756,2.01177,0.317796,1.55943,0.063412
0,222,1,81,3.92412,0.10606,2.2961,0.299524,1.22243,0.0607431
0,221,1,87,4.29114,0.109176,2.71877,0.290151,1.17305,0.0956156
0,220,1,90,4.1563,0.11727,2.76612,0.246596,1.02631,0.0342951
0,219,1,102,5.0456,0.12843,2.64872,0.351629,1.91682,0.0490623
0,218,1,115,5.93249,0.163296,3.71987,0.418952,1.63037,0.0619118
0,217,1,92,5.75161,0.119918,2.9754,0.497319,2.15898,0.0969276
0,216,1,70,4.64743,0.0883734,2.32567,0.404894,1.82849,0.0441662
0,215,1,110,5.58667,0.145564,3.63992,0.363651,1.43753,0.0987149
0,214,1,107,5.55692,0.146457,3.59812,0.367557,1.44479,0.0885793
0,213,1,118,4.97835,0.151378,3.45247,0.280114,1.09439,0.0997629
0,212,1,75,2.65845,0.0942672,1.51354,0.0556324,0.995005,0.075792
0,211,1,79,4.11316,0.102384,2.38528,0.353556,1.27194,0.0632704
0,210,0,54,1.98921,0.0714292,1.69071,0.0268715,0.200194,3.32394
0,209,1,65,4.33926,0.0817152,2.34125,0.39303,1.52326,0.0927006
0,208,1,106,4.71206,0.130512,3.19538,0.285716,1.10046,0.0924327
