s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
0,220,1,81,47.2289,0.306594,46.714,0.00119606,0.207147,0.0898906
0,219,1,104,34.2536,0.153029,33.9477,0.00171948,0.151227,0.089588
0,218,1,89,46.7985,0.151709,46.5259,0.0012897,0.119649,0.0197185
0,217,0,200,90.2526,0.244921,89.7816,0.00298254,0.223089,0.718563
0,216,1,86,35.753,0.104838,35.5445,0.00130011,0.102331,0.091502
0,215,1,86,42.7912,0.103009,42.5766,0.00132014,0.110264,0.0637955
0,214,1,86,51.5767,0.107614,51.3631,0.00129986,0.104639,0.0759572
0,213,1,93,38.7802,0.122096,38.535,0.00146381,0.121642,0.0797154
0,212,1,84,19.207,0.103881,18.9995,0.0012082,0.102417,0.0641192
0,211,1,71,28.4588,0.0898605,28.2779,0.0010824,0.0900243,0.0274521
0,210,0,109,34.9907,0.1396,34.6704,0.00166031,0.179075,2.75897
0,209,1,89,57.5509,0.111233,57.3298,0.00141683,0.108395,0.0987773
0,208,1,90,45.6742,0.110683,45.4548,0.00141852,0.107309,0.0949588
0,207,0,94,36.6398,0.117821,36.3585,0.00140487,0.162035,3.35236
0,206,1,93,47.7117,0.11534,47.481,0.00144177,0.113886,0.0411257
0,205,1,84,19.2999,0.11377,19.0792,0.0012983,0.105666,0.0957152
0,204,1,96,61.275,0.128962,61.0098,0.00162991,0.134594,0.0932386
0,203,1,86,28.3435,0.114557,28.1149,0.00136038,0.112747,0.0746786
0,202,1,80,64.0114,0.393717,63.341,0.00131639,0.275386,0.0908054
0,201,1,89,58.6964,0.242706,58.2886,0.00138042,0.163731,0.0397387
0,200,1,83,46.1229,0.134322,45.8597,0.00128917,0.127655,0.0801718
0,199,1,85,48.9469,0.120111,48.7048,0.00129482,0.120769,0.0862235
0,198,1,76,41.551,0.102167,41.3429,0.00120395,0.104776,0.0798836
0,197,1,117,27.9854,0.162607,27.6667,0.00175469,0.154317,0.0592303
0,196,0,82,30.0071,0.113438,29.7445,0.00123511,0.147881,2.9778
0,195,1,87,56.6568,0.114318,56.4307,0.00133047,0.110548,0.084165
