s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
0,299,1,86,0.976977,0.106569,0.762878,0.00112996,0.1064,0.0918482
0,298,1,84,1.44943,0.0950741,1.26293,0.00109621,0.0903234,0.097928
0,297,1,83,1.27728,0.114295,1.05478,0.00110024,0.107111,0.0347924
0,296,1,86,1.51559,0.0990035,1.31505,0.0013121,0.100224,0.0804539
0,295,1,88,1.28593,0.102964,1.08124,0.00121746,0.100507,0.0313366
0,294,1,74,1.09475,0.0834706,0.922091,0.00101759,0.0881694,0.0777358
0,293,1,98,1.47965,0.117086,1.24551,0.00132504,0.115735,0.099993
0,292,1,84,1.2782,0.0957925,1.08392,0.00113418,0.0973487,0.0804401
0,291,1,76,1.70684,0.0896621,1.52732,0.00107898,0.0887698,0.0867358
0,290,1,82,1.19999,0.108611,0.999481,0.00112384,0.0907753,0.0979332
0,289,1,89,1.46293,0.15062,1.20017,0.00126348,0.110873,0.0959966
0,288,1,83,1.78989,0.126096,1.53209,0.00114312,0.130557,0.0889828
0,287,1,105,1.33797,0.168189,1.03142,0.00138989,0.136974,0.0597602
0,286,1,92,1.21057,0.100775,1.00788,0.00121624,0.100702,0.0931388
0,285,0,73,0.983532,0.0803909,0.790194,0.000999423,0.111948,3.63972
0,284,1,86,1.08148,0.107619,0.876762,0.00113146,0.0959704,0.0968569
0,283,1,92,1.19583,0.117046,0.961311,0.00124333,0.116226,0.0937204
0,282,1,81,1.01719,0.0875963,0.845053,0.0010517,0.0834841,0.0982089
0,281,1,88,1.39805,0.0958803,1.20729,0.00116555,0.0937199,0.0863544
0,280,1,96,1.31696,0.128094,1.06002,0.00135815,0.127489,0.0868955
0,279,1,78,1.43007,0.122041,1.19479,0.00105948,0.112188,0.0716597
0,278,1,97,1.13687,0.10799,0.92387,0.00126031,0.103747,0.0700077
0,277,1,80,1.1977,0.0885332,1.02548,0.00103146,0.0826613,0.0968816
0,276,1,93,1.43745,0.102513,1.23229,0.00131257,0.101337,0.0801359
0,275,1,72,1.15504,0.100373,0.961707,0.00106253,0.0918986,0.0823898
0,274,1,84,1.27354,0.10185,1.07953,0.00121894,0.0909355,0.0816411
0,273,1,88,0.972299,0.0977466,0.777194,0.00117486,0.0961832,0.0998673
0,272,1,101,1.74755,0.118536,1.51538,0.00138658,0.11224,0.0503414
0,271,1,92,1.99727,0.132662,1.73332,0.00132705,0.129962,0.0230237
0,270,1,95,1.29367,0.112086,1.07214,0.00128557,0.108162,0.0806998
0,269,1,81,1.32019,0.0987509,1.12023,0.00112712,0.100083,0.0965568
0,268,1,113,1.83268,0.133694,1.56737,0.00166768,0.129953,0.0733246
0,267,1,88,1.44581,0.10741,1.22699,0.00135965,0.110046,0.0785945
0,266,1,80,1.4368,0.0986938,1.23948,0.00126248,0.0973611,0.0476913
0,265,1,97,1.71307,0.116955,1.46779,0.0014222,0.126901,0.0759599
0,264,1,109,1.56464,0.121261,1.32524,0.00145618,0.116688,0.0811591
0,263,1,69,0.808699,0.0769237,0.657152,0.000931051,0.0736926,0.0795648
0,262,1,86,1.5133,0.101359,1.30621,0.00128634,0.104449,0.0712873
0,261,1,80,1.56333,0.102355,1.36678,0.00117327,0.0930228,0.0869928
0,260,1,78,0.915844,0.0902948,0.739871,0.00103089,0.084647,0.0793504
0,259,1,72,1.12901,0.0801416,0.969637,0.00093553,0.0782977,0.0613978
0,258,1,80,1.20234,0.0877809,1.03124,0.00105861,0.0822649,0.0621629
0,257,1,72,1.3531,0.102737,1.16581,0.000966659,0.0835916,0.0998791
0,256,1,90,1.29067,0.134103,1.04154,0.0011907,0.113834,0.0732625
0,255,1,101,1.30129,0.114562,1.0794,0.00136276,0.105972,0.0806979
0,254,1,82,1.27786,0.0889254,1.09951,0.00111674,0.0883115,0.0792859
0,253,1,84,1.52844,0.122997,1.29325,0.00113874,0.111052,0.0895354
0,252,0,200,3.2157,0.297483,2.68049,0.0025906,0.23514,0.594113
0,251,1,79,1.61644,0.0966187,1.42654,0.00112604,0.0921532,0.0993641
0,250,1,90,1.48619,0.101551,1.28526,0.00128491,0.0980928,0.0996306
0,249,1,85,1.13844,0.0990539,0.943218,0.00113344,0.0950326,0.0396165
0,248,0,82,0.8703,0.0877934,0.650209,0.00107955,0.131217,3.61352
0,247,1,94,1.78084,0.104568,1.58056,0.00126859,0.0944432,0.0833766
0,246,1,89,1.49919,0.143529,1.23339,0.00115728,0.121113,0.0653231
0,245,1,83,1.22235,0.117122,0.9968,0.00113661,0.107287,0.0565996
0,244,1,83,1.50776,0.100234,1.31489,0.00117821,0.0914567,0.0979312
0,243,1,108,1.81065,0.123128,1.56936,0.0014438,0.116714,0.0714276
0,242,1,68,1.03813,0.0823745,0.880169,0.000921211,0.0746663,0.0919532
0,241,1,75,1.34335,0.0961557,1.14977,0.00102786,0.0963955,0.098579
0,240,1,69,1.46145,0.0821018,1.29792,0.00107141,0.0803543,0.0829568
0,239,1,113,2.16902,0.133591,1.90259,0.0016697,0.131169,0.0940272
0,238,1,146,2.52026,0.184637,2.14365,0.00211673,0.189863,0.0688682
0,237,1,81,1.35166,0.0955156,1.16163,0.00110762,0.093405,0.0808221
0,236,1,86,1.47245,0.123186,1.25331,0.00121018,0.0947454,0.0913028
0,235,1,88,0.901196,0.107015,0.688566,0.00115829,0.104456,0.0930572
0,234,1,95,1.7689,0.105871,1.56089,0.00131631,0.100827,0.0940549
0,233,1,106,1.67953,0.153284,1.37666,0.00137028,0.148221,0.0559848
0,232,1,98,1.21333,0.110869,0.990462,0.00133115,0.110662,0.0911062
0,231,1,95,1.90148,0.128206,1.65368,0.0013322,0.118259,0.0950376
0,230,1,100,1.33813,0.114779,1.10759,0.00135157,0.114403,0.0771211
0,229,1,91,1.19718,0.0997098,0.995418,0.00118555,0.100865,0.079193
