s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
0,299,1,99,2.67224,0.114622,2.02414,0.0285808,0.504894,0.0639341
0,298,1,85,3.68654,0.105263,3.28301,0.0109681,0.287296,0.0782041
0,297,1,115,4.69486,0.158529,4.02759,0.0223838,0.486359,0.0819296
0,296,1,97,4.2842,0.128009,3.6695,0.0169772,0.469712,0.0324253
0,295,1,91,3.50034,0.115032,2.85459,0.0263387,0.504382,0.0824646
0,294,1,93,2.32034,0.105369,1.85133,0.0168192,0.346816,0.0984475
0,293,1,87,3.30137,0.101358,2.76237,0.0176572,0.419983,0.0743044
0,292,1,72,3.34557,0.088294,2.91893,0.0144337,0.323913,0.0462866
0,291,1,71,4.27942,0.116757,3.82074,0.0153256,0.326596,0.0962072
0,290,1,73,3.06876,0.0898857,2.66973,0.0129825,0.296157,0.029601
0,289,1,88,3.95571,0.12577,3.40484,0.0191946,0.405901,0.0766721
0,288,1,80,3.82361,0.108539,3.40711,0.0138937,0.29407,0.0741339
0,287,1,120,4.00186,0.159053,3.43198,0.0138483,0.396982,0.061133
0,286,1,100,3.20621,0.116328,2.65417,0.0171819,0.418525,0.0965732
0,285,1,109,4.30641,0.144683,3.6676,0.0201095,0.474017,0.0973851
0,284,1,102,3.58685,0.123862,3.04732,0.0201188,0.395548,0.0623836
0,283,1,90,2.01393,0.106239,1.53523,0.0180169,0.354443,0.0797721
0,282,1,80,3.34198,0.125415,2.84537,0.0131625,0.358024,0.0886589
0,281,1,77,4.20121,0.0996855,3.72921,0.0146557,0.357661,0.0691233
0,280,1,93,4.39944,0.11732,3.8539,0.0204081,0.40782,0.0648879
0,279,1,72,3.37274,0.090371,2.93783,0.0176065,0.326934,0.0814028
0,278,1,76,2.67695,0.0917161,2.21402,0.0173958,0.353822,0.0716214
0,277,1,77,4.27296,0.0968723,3.74323,0.0211793,0.41168,0.066772
0,276,1,96,4.96466,0.131063,4.41679,0.016768,0.400037,0.087225
0,275,1,109,3.83698,0.136635,3.34242,0.0226199,0.335301,0.0824189
0,274,1,96,4.53066,0.120098,3.98337,0.0191067,0.408088,0.0254148
0,273,1,92,3.00624,0.114588,2.41834,0.0164174,0.456886,0.0597197
0,272,1,89,4.60125,0.109688,4.07479,0.017847,0.398917,0.0877294
0,271,0,200,9.01422,0.266617,8.33368,0.019123,0.394798,0.492348
0,270,1,80,2.95303,0.0990001,2.48491,0.0162567,0.352863,0.0600876
0,269,1,92,4.88361,0.112918,4.26433,0.0226943,0.48367,0.0562118
0,268,1,96,4.20135,0.116264,3.58764,0.0218491,0.475594,0.0983565
0,267,1,104,4.49619,0.131457,3.95378,0.0159392,0.395017,0.0728781
0,266,1,79,4.28016,0.100279,3.81056,0.0146509,0.354669,0.0839261
0,265,1,90,3.8127,0.117519,3.36941,0.0110412,0.314724,0.0588233
0,264,1,73,3.33309,0.092138,2.8581,0.0151081,0.367742,0.0738952
0,263,1,81,2.58341,0.0975412,2.09222,0.021459,0.372187,0.0865758
