0	299	1	109	20.5557
0	298	1	73	41.3485
0	297	1	103	52.0934
0	296	1	89	41.7985
0	295	0	44	15.9943
0	294	1	104	25.7169
0	293	1	83	30.9195
0	292	1	102	51.6252
0	291	1	97	66.3856
0	290	1	103	46.4973
0	289	1	100	51.8549
0	288	1	93	49.4066
0	287	1	91	29.6342
0	286	1	83	25.2908
0	285	1	98	40.3974
0	284	1	89	31.4438
0	283	1	104	21.6457
0	282	0	200	84.7991
0	281	0	112	59.2678
0	280	1	87	42.7614
0	279	1	76	37.8638
0	278	1	91	22.1753
0	277	1	75	39.7469
0	276	1	85	40.869
0	275	1	80	24.9772
0	274	1	89	43.611
0	273	1	90	21.2111
0	272	0	200	106.304
0	271	1	101	54.1002
0	270	1	72	24.4447
0	269	1	72	38.4587
0	268	1	105	48.046
0	267	0	200	101.423
0	266	1	99	55.0549
0	265	1	97	43.3313
0	264	1	82	35.597
0	263	1	89	23.4901
0	262	1	70	41.7947
0	261	1	78	45.7701
0	260	1	80	25.0746
0	259	0	200	78.5924
0	258	1	87	44.6246
0	257	1	81	45.9799
0	256	1	76	35.7719
0	255	1	94	34.8947
0	254	1	99	58.7455
0	253	1	79	34.9458
0	252	1	83	48.2844
0	251	1	77	52.032
0	250	1	118	63.3122
0	249	1	88	33.0273
0	248	0	94	17.6426
0	247	1	87	57.5568
0	246	0	200	104.663
0	245	1	76	31.0696
0	244	1	84	40.54
0	243	1	101	68.6151
0	242	1	84	42.3142
0	241	1	77	36.7128
0	240	1	95	46.8315
0	239	1	78	45.7782
0	238	1	116	62.9098
0	237	1	82	44.0507
0	236	1	82	50.1847
0	235	1	125	26.5735
0	234	1	79	43.7433
0	233	1	108	56.0748
0	232	1	76	26.3687
0	231	1	91	53.9562
0	230	1	99	39.7493
0	229	1	100	39.5817
0	228	1	95	46.822
0	227	1	101	27.3884
0	226	1	71	28.0415
0	225	0	57	22.3531
0	224	1	128	47.5151
0	223	1	76	24.6633
0	222	1	84	29.8925
0	221	1	79	54.2686
0	220	1	81	47.2289
0	219	1	104	34.2536
0	218	1	89	46.7985
0	217	0	200	90.2526
0	216	1	86	35.753
0	215	1	86	42.7912
0	214	1	86	51.5767
0	213	1	93	38.7802
0	212	1	84	19.207
0	211	1	71	28.4588
0	210	0	109	34.9907
0	209	1	89	57.5509
0	208	1	90	45.6742
0	207	0	94	36.6398
0	206	1	93	47.7117
0	205	1	84	19.2999
0	204	1	96	61.275
0	203	1	86	28.3435
0	202	1	80	64.0114
0	201	1	89	58.6964
0	200	1	83	46.1229
0	199	1	85	48.9469
0	198	1	76	41.551
0	197	1	117	27.9854
0	196	0	82	30.0071
0	195	1	87	56.6568
0	194	1	92	32.573
0	193	1	95	25.2862
0	192	1	78	45.9333
0	191	1	98	54.6894
0	190	1	76	21.904
0	189	1	90	34.7251
0	188	1	64	31.0727
0	187	1	100	23.5542
0	186	1	81	29.8517
